,track,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Fingers,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,['anime score'],264533,26,0.636,0.522,6,-14.601,0,0.16,0.33,0.00235,0.0645,0.58,171.947,4
1,Spy,COWBOY BEBOP Vitaminless,Various Artists,1998-06-03,[],123693,27,0.421,0.673,0,-9.457,1,0.0361,0.495,0.945,0.11,0.763,127.611,3
2,Gateway,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),Various Artists,1998-10-21,[],178266,31,0.612,0.612,8,-9.546,1,0.0915,0.708,0.482,0.199,0.536,102.273,4
3,Tank!,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],210333,62,0.401,0.902,0,-6.814,1,0.154,0.0296,0.918,0.614,0.58,137.363,4
4,Spokey Dokey,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],245000,47,0.507,0.184,2,-12.078,1,0.0539,0.886,0.135,0.0919,0.251,116.674,4
5,Gotta Knock a Little Harder,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,['anime score'],324466,40,0.348,0.708,9,-6.296,0,0.0827,0.0941,2.4e-05,0.0824,0.296,171.457,4
6,Cat Blues,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],157306,45,0.712,0.583,9,-9.471,0,0.0667,0.222,0.297,0.186,0.42,139.983,4
7,Ask DNA,COWBOY BEBOP Knockin' on Heaven's Door Ask DNA,SEATBELTS,2001-07-25,['anime score'],291626,41,0.703,0.759,5,-5.811,1,0.0531,0.124,0.0,0.122,0.514,93.005,4
8,Powder,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,['anime score'],90640,25,0.383,0.378,8,-14.809,1,0.033,0.986,0.88,0.108,0.0367,180.445,4
9,Cats on Mars,COWBOY BEBOP Vitaminless,Various Artists,1998-06-03,[],165706,52,0.838,0.469,0,-11.001,1,0.0447,0.141,0.056,0.0932,0.969,134.93,4
10,Felt Tip Pen,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],162466,42,0.626,0.35,9,-14.699,0,0.0386,0.0659,0.566,0.275,0.453,106.861,4
11,3.14,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,['anime score'],97306,23,0.776,0.00461,11,-23.56,1,0.263,0.32,0.0,0.153,0.533,77.184,4
12,Cosmos,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],97000,45,0.267,0.0124,8,-21.726,1,0.0455,0.97,0.00843,0.134,0.253,75.754,1
13,American Money,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),Various Artists,1998-10-21,[],67666,27,0.532,0.94,0,-8.574,1,0.0736,0.345,0.875,0.27,0.869,157.058,4
14,Stella By Moor,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),Various Artists,1999-05-01,[],68893,30,0.574,0.00638,9,-29.405,0,0.0624,0.938,0.825,0.0838,0.239,65.941,4
15,Odd Ones,COWBOY BEBOP Vitaminless,Various Artists,1998-06-03,[],190666,33,0.506,0.674,10,-8.538,0,0.0718,0.535,0.628,0.302,0.436,121.328,4
16,What Planet Is This.,COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,['anime score'],164600,40,0.519,0.973,1,-5.19,1,0.171,0.0168,0.839,0.104,0.742,143.667,4
17,Digging My Potato,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],144560,42,0.661,0.0881,10,-19.451,0,0.449,0.468,0.138,0.109,0.279,139.466,3
18,The Egg and I,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,['anime score'],162600,42,0.742,0.414,10,-9.332,0,0.0529,0.0387,0.58,0.0703,0.283,98.018,4
19,Time to Know - Be Waltz,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,['anime score'],229893,31,0.418,0.779,1,-6.114,1,0.0387,0.254,0.138,0.129,0.8,107.734,4
20,7 Minutes,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,['anime score'],408960,30,0.469,0.662,1,-10.327,1,0.0454,0.00288,0.768,0.0619,0.217,148.481,1
21,Mushroom Hunting,COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,['anime score'],199573,40,0.553,0.749,4,-6.367,1,0.0392,0.759,0.328,0.325,0.955,132.049,4
